ID,Type,Role,Surface,Severity,Title,Steps to Reproduce,Expected,Actual / Symptom,Device / Breakpoint,Suggested Fix,Status,Found By,Date
BUG-V01,Validation,Customer,API v1 / Web,High,Customer pincode accepts non-numeric text,"1. Create address/booking with pincode=abcdef or 12 2. Submit",422 Indian 6-digit regex,Often accepts (string max:10 only),All,Apply regex /^[1-9][0-9]{5}$/ like vendor register,Closed,,
BUG-V02,Validation,Customer,API v1 / Web,Medium,Review rating allows fractional values,"1. POST review rating=3.7",Integer 1-5 (or documented half-stars),Accepted as numeric,All,integer|min:1|max:5 OR step 0.5 rule,Closed,,
BUG-V03,Validation / Finance,Admin,Web,Critical,Refund amount has no upper bound in request,"1. Create refund amount >> order total",422 amount exceeds refundable,May create oversized refund if controller does not clamp,Desktop,Add lte remaining refundable in FormRequest + service check,Closed,,
BUG-V04,Security,Customer/Vendor/Driver,API Auth,Critical,OTP value returned in send response,"1. POST otp/send 2. Inspect JSON for otp field",OTP never in prod response,otp present when debug/dev convenience,All,Return OTP only when app.debug true,Closed,,
BUG-V05,Validation,Customer,API v1,Medium,API mobile validation looser than web,"1. Send OTP with odd formats max:20",Same /^[6-9]\d{9}$/ as web after normalize,Inconsistent errors,All,Unify mobile rules,Closed,,
BUG-B01,Functional,Customer,API v1 / Web,Critical,Cancel when accepted does not cascade to items,"1. Accept items 2. Customer cancel booking",order + items cancelled,orders.status=cancelled; items may stay accepted,All,Cascade via BookingLifecycleService::cancelByCustomer,Closed,,
BUG-B02,UX / API,Customer,API v1 Bookings list,High,Checkout list confused item vs order ids,"1. GET /bookings 2. App binds wrong id for detail",Clear checkout.id / sub_orders[].id / line_items[].id,App may open wrong screen,Mobile app,Document IDs; keep list slim (listLineItem),Closed,,
BUG-B03,UX,Vendor,API / Web,Medium,Returned remapped to re_intransit,"1. Vendor marks returned without pickup",UI shows Return In Transit,Label may still say Returned,All,Align labels with coerced status via statusForDisplay,Closed,,
BUG-D01,Functional,Driver/Customer,API,Medium,Delivery OTP missing when only item in transit,"1. Item in_progress 2. Booking rollup not in_progress 3. GET detail",OTP available for active delivery leg,delivery_otp null,All,ensureDeliveryOtp when any item in transit,Closed,,
BUG-P01,UX / Validation,Admin,Web,Medium,Number fields sometimes type=text until submit,"1. Paste letters in amount fields",Immediate block + 422,Letters typed freely until submit,Desktop / Tablet,inputmode=decimal + shared rules,Closed,,
BUG-S01,RBAC,Sub-admin,Web,Low,Permission modules without routes (chat/video/commissions),"1. Assign chat permission in role UI",Permission maps to a page or hidden,Dead permissions,Desktop,Hide unused or wire routes,Closed,,
BUG-C01,Responsive / Functional,Customer,Web,High,Checkout multi-item tracking must stay item-wise,"1. Multi-item checkout booking page on mobile","Each line own trackSteps()",If regress: all lines same order timeline,375px / Desktop,Keep orderItem in progress partial,Closed,,
BUG-R01,Responsive,Customer,Web,High,Horizontal scroll on catalog/home mobile,"1. Open home/catalog at 375px width",No page-level horizontal scroll,Content wider than viewport / overflow-x,375 / 390,Fix wide grids; max-width 100%; overflow-x clip carefully,Closed,,
BUG-R02,Responsive,Customer,Web,High,Booking detail actions cramped/overlapping on mobile,"1. Open booking with track + review/rework forms at 375",Stacked actions; 44px targets,Buttons overlap or off-screen,375,Stack .jbw-booking-item-actions; full-width buttons,Closed,,
BUG-R03,Responsive,Customer,Web,Medium,Profile sidebar eats space on tablet,"1. /bookings history at 768",Sidebar collapses to drawer/top nav,Sidebar + content squeeze,768,Collapse sidebar under 960,Closed,,
BUG-R04,Responsive,Vendor,Web,High,Vendor bookings table unusable on phone,"1. /vendor/bookings at 375",Card layout or intentional horizontal scroll with sticky action,Columns cut off; actions unreachable,375,Responsive table / card list,Closed,,
BUG-R05,Responsive,Vendor,Web,High,Vendor booking detail forms cut off,"1. Status/damage forms at 375",Scrollable form; sticky save,Controls under viewport; fixed footer collision,375,Stack forms; sticky CTA,Closed,,
BUG-R06,Responsive,Admin,Web,Critical,Admin sidebar overlays content on mobile,"1. Login admin on phone 2. Open orders",Hamburger; content full width when closed,Content under fixed sidebar,375,responsive-overrides; off-canvas menu,Closed,,
BUG-R07,Responsive,Admin,Web,High,Admin data tables require unreachable horizontal scroll,"1. Orders/customers/vendors at 375",Scroll container OR card rows; filters wrap,User cannot reach right-side actions,375,Wrap filters; overflow-x auto on table wrapper,Closed,,
BUG-R08,Responsive,Admin,Web,High,Order show assign-driver UI broken on small screens,"1. Open order with items 2. Assign driver at 375",Dropdowns usable,Selects clipped; modal too wide,375,Full-width selects; modal max-width 100%,Closed,,
BUG-R09,Responsive,Admin,Web,Medium,Dashboard widgets overflow at tablet,"1. Dashboard at 768",Cards wrap 2-col,Charts clipped,768,Grid auto-fit minmax,Closed,,
BUG-R10,Responsive,All,Web,Medium,Modals exceed viewport height on mobile,"1. Open long create form modal at 375",Modal body scrolls; header/footer fixed,Cannot reach submit,375,max-height 90vh; overflow auto body,Closed,,
BUG-R11,Responsive,Customer,Web,Medium,Chat composer hidden by mobile keyboard,"1. Open chat 2. Focus input",Composer visible above keyboard,Send button under keyboard,iOS / Android,visualViewport / sticky composer,Closed,,
BUG-R12,Responsive,Customer,Web,Medium,Long addresses/titles overflow cards,"1. Booking with long address",Wrap / ellipsis,Text overflows card border,375,overflow-wrap anywhere,Closed,,
BUG-R13,Responsive,Vendor,Web,Low,Vendor login branding spacing on small screens,"1. /vendor/login 320px",Readable centered card,Title wrap awkward,320,Tighten auth CSS,Closed,,
BUG-R14,Responsive,All,Web,Medium,Touch targets below 44px,"1. Icon-only buttons on mobile",Min 44x44 hit area,Hard to tap,375,Increase padding,Closed,,
BUG-R15,Responsive,Admin,Web,Low,Admin responsive-overrides incomplete for new pages,"1. New module pages at 375",Consistent with orders/customers,Some pages still desktop-only,375,Extend admin/partials/responsive-overrides.blade.php,Closed,,
BUG-API01,Functional,Customer,API v1,High,Bookings list previously dumped full item detail,"1. GET /api/v1/bookings checkout_order",Slim line_items,If regress: measurements/tracking in list,App,Keep bookingListSummary + listLineItem,Closed,,
BUG-SEC01,Security,Admin,Web,Critical,Sub-admin cross-city data leak,"1. Indore admin open Mumbai order URL",403,If sees data = bug,Desktop,enforce authorizeCityAccess,Closed,,
